Processing_Description,YS(MPa),UTS(MPa),El(%),Ag(wt%),Al(wt%),B(wt%),Be(wt%),Bi(wt%),Cd(wt%),Co(wt%),Cr(wt%),Cu(wt%),Er(wt%),Eu(wt%),Fe(wt%),Ga(wt%),Li(wt%),Mg(wt%),Mn(wt%),Ni(wt%),Pb(wt%),Sc(wt%),Si(wt%),Sn(wt%),Ti(wt%),V(wt%),Zn(wt%),Zr(wt%)
Solutionised  + Artificially peak aged,583.3,651.6,16.8,0.0,88.011,0.0,0.0,0.0,0.0,0.0,0.0,1.9800000000000002,0.0,0.0,0.055,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.033999999999990003,0.0,0.0,0.0,7.68,0.12
Solutionised + Artificially over aged,513.0,557.0,15.4,0.0,88.011,0.0,0.0,0.0,0.0,0.0,0.0,1.9800000000000002,0.0,0.0,0.055,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.033999999999990003,0.0,0.0,0.0,7.68,0.12
Solutionised  + Artificially peak aged,300.0,320.0,10.5,0.0,99.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0
Solutionised  + Artificially peak aged,265.0,280.0,4.5,0.0,99.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Solutionised  + Artificially peak aged,290.0,325.0,7.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Solutionised  + Artificially peak aged,220.0,270.0,7.5,0.0,98.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0
Solutionised  + Artificially peak aged,90.0,190.0,25.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solutionised  + Artificially peak aged,350.0,430.0,13.0,0.0,95.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Solutionised  + Artificially peak aged,410.0,530.0,8.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,80.0,135.0,1.8,0.06999999999999999,92.08,0.0,0.0,0.0,0.0,0.0,0.0,6.370000000000001,0.0,0.0,0.5700000000000001,0.0,0.0,0.01,0.18,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.66,0.0
No Processing,85.0,135.0,1.8,0.0,91.60000000000001,0.0,0.0,0.0,0.0,0.0,0.0,6.8500000000000005,0.0,0.0,0.6,0.0,0.0,0.01,0.2,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.6799999999999999,0.0
No Processing,100.0,165.0,2.0,0.03,91.53,0.0,0.0,0.0,0.0,0.0,0.0,6.78,0.0,0.0,0.62,0.0,0.0,0.01,0.19,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.76,0.0
No Processing,90.0,150.0,1.8,0.1,91.51,0.0,0.0,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.61,0.0,0.0,0.01,0.18,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.73,0.0
Solutionised,130.0,225.0,4.0,0.06999999999999999,92.08,0.0,0.0,0.0,0.0,0.0,0.0,6.370000000000001,0.0,0.0,0.5700000000000001,0.0,0.0,0.01,0.18,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.66,0.0
Solutionised,125.0,240.0,6.0,0.0,91.60000000000001,0.0,0.0,0.0,0.0,0.0,0.0,6.8500000000000005,0.0,0.0,0.6,0.0,0.0,0.01,0.2,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.6799999999999999,0.0
Solutionised,130.0,230.0,4.0,0.03,91.53,0.0,0.0,0.0,0.0,0.0,0.0,6.78,0.0,0.0,0.62,0.0,0.0,0.01,0.19,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.76,0.0
Solutionised,140.0,220.0,3.0,0.1,91.51,0.0,0.0,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.61,0.0,0.0,0.01,0.18,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.73,0.0
Strain hardened,58.6,166.0,20.0,0.0,96.9484742,0.0,0.0,0.0,0.0,0.0,0.0,0.1250625,0.0,0.0,0.35017509999998997,0.0,0.0,1.0505253,1.2506253,0.0,0.0,0.0,0.150075,0.0,0.0,0.0,0.1250625,0.0
Strain hardened,106.0,191.5,15.0,0.0,96.7725794,0.0,0.0,0.0,0.0,0.0,0.2501876,0.0500375,0.0,0.0,0.20015010000000003,0.0,0.0,2.5018764,0.0500375,0.0,0.0,0.0,0.1250938,0.0,0.0,0.0,0.0500375,0.0
Strain hardened,180.0,260.0,14.0,0.0,97.1,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain hardened,138.0,240.0,12.95,0.0,95.81977470000001,0.0,0.0,0.0,0.0,0.0,0.1251564,0.0500626,0.0,0.0,0.20025030000000002,0.0,0.0,2.7033792,0.7509386999999901,0.0,0.0,0.0,0.1251564,0.0,0.1001252,0.0,0.1251564,0.0
Strain hardened,152.5,261.0,12.95,0.0,94.6946947,0.0,0.0,0.0,0.0,0.0,0.1501502,0.0500501,0.0,0.0,0.25025029999999,0.0,0.0,4.004004,0.4504505,0.0,0.0,0.0,0.20020020000000002,0.0,0.0750751,0.0,0.12512510000000002,0.0
Strain hardened,148.0,248.5,12.95,0.0,94.04702350000001,0.0,0.0,0.0,0.0,0.0,0.150075,0.05002500000000001,0.0,0.0,0.2001001,0.0,0.0,4.45222609999999,0.70035019999999,0.0,0.0,0.0,0.2001001,0.0,0.0750375,0.0,0.1250625,0.0
Strain hardened,188.5,305.5,12.95,0.0,93.4233558,0.0,0.0,0.0,0.0,0.0,0.1250313,0.0500125,0.0,0.0,0.20005,0.0,0.0,5.1012753,0.7501875,0.0,0.0,0.0,0.1250313,0.0,0.100025,0.0,0.1250313,0.0
Strain hardened,124.105626,248.211252,18.0,0.0,96.35000000000001,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain hardened,115.0,240.0,25.0,0.0,96.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.5000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain hardened,131.000383,268.895523,14.0,0.0,95.45,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.44999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain hardened,130.0,270.0,14.0,0.0,95.39999999999999,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.44999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain hardened,158.579411,296.474551,20.0,0.0,94.65,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.45,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain hardened,165.474168,310.264065,22.0,0.0,93.85,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain hardened,172.368925,193.053196,10.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
Strain hardened,105.0,110.0,12.0,0.0,99.88,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain hardened,130.0,140.0,10.0,0.0,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain hardened,130.0,150.0,7.0,0.0,98.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain hardened,125.0,130.0,10.0,0.0,98.68,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain hardened,166.0,232.5,14.5,0.0,95.8719039,0.0,0.0,0.0,0.0,0.0,0.15011259999999998,0.0500375,0.0,0.0,0.20015010000000003,0.0,0.0,3.1023267,0.2501876,0.0,0.0,0.0,0.20015010000000003,0.0,0.07505629999999999,0.0,0.1000751,0.0
Strain hardened,205.0,265.0,13.0,0.0,95.623906,0.0,0.0,0.0,0.0,0.0,0.25006249999999997,0.0500125,0.0,0.0,0.20005,0.0,0.0,3.5008752,0.0500125,0.0,0.0,0.0,0.1250313,0.0,0.100025,0.0,0.100025,0.0
Strain hardened,234.0,317.0,12.0,0.0,94.5709282,0.0,0.0,0.0,0.0,0.0,0.0500375,0.07505629999999999,0.0,0.0,0.17513129999999,0.0,0.0,4.5033775,0.3502627,0.0,0.0,0.0,0.1000751,0.0,0.0500375,0.0,0.1250938,0.0
Strain hardened,145.0,287.5,23.0,0.0,95.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.09999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain hardened,220.0,350.0,17.1,0.0,94.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0999999999999999,4.09999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain hardened,315.0,427.5,9.3,0.0,94.19999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,4.09999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),115.0,125.0,9.0,0.0,99.88,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),115.0,125.0,8.0,0.0,99.8749062,0.0,0.0,0.0,0.0,0.0,0.0,0.025018799999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.025018799999999997,0.0,0.0,0.0,0.0,0.0,0.025018799999999997,0.0,0.0500375,0.0
Strain Harderned (Hard),89.631841,96.526598,12.0,0.0,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),117.210869,124.105626,9.0,0.0,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.6999999999999901,0.0,0.02,0.0,0.02,0.0
Strain Harderned (Hard),150.0,160.0,6.0,0.0,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),150.0,170.0,5.0,0.0,98.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),144.789897,151.684654,8.0,0.0,98.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),145.0,150.0,8.0,0.0,98.68,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),145.0,160.0,11.0,0.0,98.3237428,0.0,0.0,0.0,0.0,0.0,0.0500375,0.1000751,0.0,0.0,0.3502627,0.0,0.0,0.8006005,0.1000751,0.0,0.0,0.0,0.15011259999999998,0.0,0.0,0.0,0.1250938,0.0
Strain Harderned (Hard),140.0,155.0,9.0,0.0,97.8478478,0.0,0.0,0.0,0.0,0.0,0.0500501,0.0500501,0.0,0.0,0.3503504,0.0,0.0,0.1501502,1.20120119999999,0.0,0.0,0.0,0.25025029999999,0.0,0.0,0.0,0.10010010000000001,0.0
Strain Harderned (Hard),150.5,180.0,2.05,0.0,97.7988994,0.0,0.0,0.0,0.0,0.0,0.10005000000000001,0.150075,0.0,0.0,0.35017509999998997,0.0,0.0,0.5002500999999899,0.5502751,0.0,0.0,0.0,0.30015009999999,0.0,0.05002500000000001,0.0,0.2001001,0.0
Strain Harderned (Hard),190.5,230.5,12.0,0.0,96.8968969,0.0,0.0,0.0,0.0,0.0,0.0750751,0.0750751,0.0,0.0,0.25025029999999,0.0,0.0,2.0520521,0.30030029999999,0.0,0.0,0.0,0.20020020000000002,0.0,0.0750751,0.0,0.0750751,0.0
Strain Harderned (Hard),189.0,255.0,12.0,0.0,95.8719039,0.0,0.0,0.0,0.0,0.0,0.15011259999999998,0.0500375,0.0,0.0,0.20015010000000003,0.0,0.0,3.1023267,0.2501876,0.0,0.0,0.0,0.20015010000000003,0.0,0.07505629999999999,0.0,0.1000751,0.0
