ID,Al(wt%),Si(wt%),Mn(wt%),Zn(wt%),Fe(wt%),Cu(wt%),Mg(wt%),Ti(wt%),Cr(wt%),Ni(wt%),Zr(wt%),Re(wt%),Ag(wt%),Li(wt%),V(wt%),Be(wt%),Sn(wt%),Ce(wt%),"Processing（T6:1),(T7X:2),(RRA:3),(T8:4),(T5:5),(只固溶:6),(挤压:7),(未描述:8),(只有均匀化:9)",总热处理工艺,ST（℃）多级固溶机制以|隔开,固溶时间（min）多级固溶机制以|隔开,Cold_Deformation_percent,First_Aging_Temp_C,First_Aging_Time_h,Second_Aging_Temp_C,Second_Aging_Time_h,Third_Aging_Temp_C,Third_Aging_Time_h,UTS(MPa),References,Processing_Description,ST1,TIME1,ST2,TIME2,ST3,TIME3
1,87.08,0.0,0.0,8.13,0.0,2.36,2.08,0.0,0.0,0.0,0.14,0.21,0.0,0.0,0.0,0.0,0.0,0.0,1,475℃固溶40min + 水淬 + 120℃时效24h,475,40,0.0,120,24.0,0,0.0,0,0.0,696.0,"邹亮, 潘清林. 时效对超高强含钪铝合金组织和性能的影响. 湖南有色金属, 2010, 26(6): 24-27, 57. DOI: 10. 3969/j. issn. 1003-5540. 2010. 06. 009. ",the first heat treatment is Solution treatment at 475℃ for 40.0min. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,475,40,0,0,0,0
2,90.03,0.06,0.04,5.6,0.17,1.4,2.4,0.03,0.21,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1,475℃固溶1h+水淬+180℃时效4h,475,60,0.0,180,4.0,0,0.0,0,0.0,519.3,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 180.0℃ for 4.0 hours.,475,60,0,0,0,0
3,90.03,0.06,0.04,5.6,0.17,1.4,2.4,0.03,0.21,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1,475℃固溶1h+水淬+180℃时效8h,475,60,0.0,180,8.0,0,0.0,0,0.0,457.8,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 180.0℃ for 8.0 hours.,475,60,0,0,0,0
4,90.03,0.06,0.04,5.6,0.17,1.4,2.4,0.03,0.21,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1,475℃固溶1h+水淬+180℃时效12h,475,60,0.0,180,12.0,0,0.0,0,0.0,432.8,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 180.0℃ for 12.0 hours.,475,60,0,0,0,0
5,90.03,0.06,0.04,5.6,0.17,1.4,2.4,0.03,0.21,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1,475℃固溶1h+水淬+180℃时效16h,475,60,0.0,180,16.0,0,0.0,0,0.0,408.7,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 180.0℃ for 16.0 hours.,475,60,0,0,0,0
6,90.03,0.06,0.04,5.6,0.17,1.4,2.4,0.03,0.21,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1,475℃固溶1h+水淬+180℃时效20h,475,60,0.0,180,20.0,0,0.0,0,0.0,395.9,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 180.0℃ for 20.0 hours.,475,60,0,0,0,0
7,90.03,0.06,0.04,5.6,0.17,1.4,2.4,0.03,0.21,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1,475℃固溶1h+水淬+180℃时效24h,475,60,0.0,180,24.0,0,0.0,0,0.0,404.3,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 180.0℃ for 24.0 hours.,475,60,0,0,0,0
8,90.03,0.06,0.04,5.6,0.17,1.4,2.4,0.03,0.21,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1,475℃固溶1h+水淬+120℃时效4h,475,60,0.0,120,4.0,0,0.0,0,0.0,562.2,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 120.0℃ for 4.0 hours.,475,60,0,0,0,0
9,90.03,0.06,0.04,5.6,0.17,1.4,2.4,0.03,0.21,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1,475℃固溶1h+水淬+140℃时效4h,475,60,0.0,140,4.0,0,0.0,0,0.0,556.9,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 140.0℃ for 4.0 hours.,475,60,0,0,0,0
10,90.03,0.06,0.04,5.6,0.17,1.4,2.4,0.03,0.21,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1,475℃固溶1h+水淬+160℃时效4h,475,60,0.0,160,4.0,0,0.0,0,0.0,540.8,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 160.0℃ for 4.0 hours.,475,60,0,0,0,0
11,90.03,0.06,0.04,5.6,0.17,1.4,2.4,0.03,0.21,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1,475℃固溶1h+水淬+180℃时效4h,475,60,0.0,180,4.0,0,0.0,0,0.0,519.3,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 180.0℃ for 4.0 hours.,475,60,0,0,0,0
12,90.03,0.06,0.04,5.6,0.17,1.4,2.4,0.03,0.21,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1,475℃固溶1h+水淬+200℃时效4h,475,60,0.0,200,4.0,0,0.0,0,0.0,437.3,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 200.0℃ for 4.0 hours.,475,60,0,0,0,0
13,90.03,0.06,0.04,5.6,0.17,1.4,2.4,0.03,0.21,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1,475℃固溶1h+水淬+220℃时效4h,475,60,0.0,220,4.0,0,0.0,0,0.0,364.7,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 220.0℃ for 4.0 hours.,475,60,0,0,0,0
