ID,References,Ag(wt%),Al(wt%),Be(wt%),Ce(wt%),Cr(wt%),Cu(wt%),Fe(wt%),Li(wt%),Mg(wt%),Mn(wt%),Ni(wt%),Re(wt%),Si(wt%),Sn(wt%),Ti(wt%),V(wt%),Zn(wt%),Zr(wt%),ST1,TIME1,ST2,TIME2,ST3,TIME3,Cold_Deformation_percent,First_Aging_Temp_C,First_Aging_Time_h,Second_Aging_Temp_C,Second_Aging_Time_h,Third_Aging_Temp_C,Third_Aging_Time_h,Processing_Description,UTS(MPa)
1,"邹亮, 潘清林. 时效对超高强含钪铝合金组织和性能的影响. 湖南有色金属, 2010, 26(6): 24-27, 57. DOI: 10. 3969/j. issn. 1003-5540. 2010. 06. 009. ",0.0,87.08,0.0,0.0,0.0,2.36,0.0,0.0,2.08,0.0,0.0,0.21,0.0,0.0,0.0,0.0,8.13,0.14,475,40,0,0,0,0,0.0,120,24.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 40.0min. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,696.0
2,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,180,4.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 180.0℃ for 4.0 hours.,519.3
3,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,180,8.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 180.0℃ for 8.0 hours.,457.8
4,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,180,12.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 180.0℃ for 12.0 hours.,432.8
5,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,180,16.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 180.0℃ for 16.0 hours.,408.7
6,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,180,20.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 180.0℃ for 20.0 hours.,395.9
7,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,180,24.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 180.0℃ for 24.0 hours.,404.3
8,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,120,4.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 120.0℃ for 4.0 hours.,562.2
9,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,140,4.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 140.0℃ for 4.0 hours.,556.9
10,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,160,4.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 160.0℃ for 4.0 hours.,540.8
11,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,180,4.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 180.0℃ for 4.0 hours.,519.3
12,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,200,4.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 200.0℃ for 4.0 hours.,437.3
13,"宗崇文. 7075铝合金时效成形力学性能及微观组织特征研究. 南昌航空大学, 2015. DOI: 10. 7666/d. D687312. ",0.0,90.03,0.0,0.0,0.21,1.4,0.17,0.0,2.4,0.04,0.0,0.05,0.06,0.0,0.03,0.0,5.6,0.01,475,60,0,0,0,0,0.0,220,4.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 475℃ for 1h. the second heat treatment is Aging at 220.0℃ for 4.0 hours.,364.7
14,"祝贞凤, 史春丽, 李辉, 等. 固溶处理对7150铝合金显微组织和力学性能的影响. 热加工工艺, 2018, 47(8): 201-203, 211. DOI: 10. 14158/j. cnki. 1001-3814. 2018. 08. 052. ",0.0,88.8,0.0,0.0,0.0,2.3,0.0,0.0,2.2,0.1,0.0,0.0,0.0,0.0,0.05,0.0,6.5,0.05,485,50,0,0,0,0,0.0,120,24.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 485℃ for 50.0min. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,622.0
15,"朱志云, 张雪辉, 陈慧玲, 等. 淬火介质对7249铝合金力学性能及晶间腐蚀行为的影响. 材料热处理学报, 2015, 36(1): 47-51. DOI: CNKI: SUN: JSCL. 0. 2015-01-010. ",0.0,87.87,0.0,0.0,0.15,1.6,0.12,0.0,2.2,0.1,0.0,0.0,0.1,0.0,0.06,0.0,7.8,0.0,460,24,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 460℃ for 24.0min.,586.23
16,"朱玉桂, 张豪, 张林, 等. 喷射成形7475铝合金的显微组织与力学性能[. 铸造, 2010, 3: 4. DOI: CNKI: SUN: ZZZZ. 0. 2010-03-007. ",0.0,90.39,0.0,0.0,0.21,1.5,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,470,240,0,0,0,0,0.0,135,16.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 470℃ for 4h. the second heat treatment is Aging at 135.0℃ for 16.0 hours.,631.0
17,"朱玉桂, 张豪, 张林, 等. 喷射成形7475铝合金的显微组织与力学性能[. 铸造, 2010, 3: 4. DOI: CNKI: SUN: ZZZZ. 0. 2010-03-007. ",0.0,90.39,0.0,0.0,0.21,1.5,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,440,240,0,0,0,0,0.0,135,16.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 440℃ for 4h. the second heat treatment is Aging at 135.0℃ for 16.0 hours.,616.0
