,Property,,,Chemical compositions,,,,,,,,,,,,,,,Processing actions,,,,,,,
Number,YS(Mpa),UTS(Mpa),El(%),Al(at%),Co(at%),Cr(at%),Fe(at%),Ni(at%),Ti(at%),Ta(at%),V(at%),Mn(at%),Cu(at%),Mo(at%),C(at%),V(at%),W(at%),Nb(at%),Hom_Temp(K),CR(%),recrystalize temperature/K,recrystalize time/mins,Anneal_Temp(K),Anneal_Time(h),aging temperature/K,aging time/hours
1,397,721,58,0,10,15,40,25,0,0,10,0,0,0,0,0,0,0,1373,75,298,0,1173,0.166666667,298,0
2,442,745,53,0,10,15,35,25,0,0,10,5,0,0,0,0,0,0,1373,75,298,0,1173,0.166666667,298,0
3,544,860,46.2,0,10,15,30,25,0,0,10,10,0,0,0,0,0,0,1373,75,298,0,1173,0.166666667,298,0
4,352,790,64.2,0,0,15,20,45,0,0,20,0,0,0,0,0,0,0,1373,75,298,0,1273,0.166666667,298,0
5,555,976,45.6,0,0,15,20,45,0,0,20,0,0,0,0,0,0,0,1373,75,298,0,1223,0.166666667,298,0
6,587,1013,38.5,0,0,15,20,45,0,0,20,0,0,0,0,0,0,0,1373,75,298,0,1173,0.166666667,298,0
7,715,1149,19.6,0,0,15,20,45,0,0,20,0,0,0,0,0,0,0,1373,75,298,0,1073,0.166666667,298,0
8,339,684,47,0,10,10,45,25,0,0,10,0,0,0,0,0,0,0,1373,75,298,0,1173,0.166666667,298,0
9,345,689,52.6,0,20,10,45,15,0,0,10,0,0,0,0,0,0,0,1373,75,298,0,1173,0.166666667,298,0
10,348,714,62,0,30,10,45,5,0,0,10,0,0,0,0,0,0,0,1373,75,298,0,1173,0.166666667,298,0
11,427,745,70.1,0,35,10,45,0,0,0,10,0,0,0,0,0,0,0,1373,75,298,0,1173,0.166666667,298,0
12,359,732,55.8,0,30,10,45,5,0,0,10,0,0,0,0,0,0,0,1373,75,298,0,1273,0.333333333,298,0
13,345,769,57.2,0,30,10,45,2.5,0,0,10,2.5,0,0,0,0,0,0,1373,75,298,0,1273,0.25,298,0
14,374,802,66.5,0,30,10,45,0,0,0,10,5,0,0,0,0,0,0,1373,75,298,0,1273,0.166666667,298,0
15,294,625,36,0,20,10,45,15,0,0,10,0,0,0,0,0,0,0,1373,75,298,0,1173,1,298,0
16,257,645,60.2,0,30,10,45,5,0,0,10,0,0,0,0,0,0,0,1373,75,298,0,1223,1,298,0
17,397,731,40,0,30,10,45,5,0,0,10,0,0,0,0,0,0,0,1473,50,298,0,1123,1,298,0
18,470,787,44,0,30,10,40,10,0,0,10,0,0,0,0,0,0,0,1373,80,298,0,1173,0.166666667,298,0
