,,Property,,,Chemical compositions,,,,,,,,,,,,,,,Processing actions,,,,,,,,
Number,Temperature(K),YS(Mpa),UTS(Mpa),El(%),Al(at%),Co(at%),Cr(at%),Fe(at%),Ni(at%),Ti(at%),Ta(at%),V(at%),Mn(at%),Cu(at%),Mo(at%),C(at%),V(at%),W(at%),Nb(at%),Hom_Temp(K),CR(%),recrystalize temperature/K,recrystalize time/mins,Anneal_Temp(K),Anneal_Time(h),aging temperature/K,aging time/hours,
1,77,1063.0,1635.0,39.4,3.6,27.3,18.2,18.2,27.3,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1423.0,0,,,1273.0,1.0,,0,
2,273,1108.0,1140.0,24.5,0.0,33.4,33.48,0.0,33.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,873.0,1.0,,0,
3,153,1258.0,1324.0,28.2,0.0,33.4,33.48,0.0,33.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,873.0,1.0,,0,
4,113,1280.0,1698.0,32.4,3.0,31.33,31.33,0.0,31.33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,,,,0,
5,143,1231.0,1627.0,34.1,3.0,31.33,31.33,0.0,31.33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,,,,0,
6,173,1176.0,1544.0,32.9,3.0,31.33,31.33,0.0,31.33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,,,,0,
7,203,1170.0,1507.0,31.6,3.0,31.33,31.33,0.0,31.33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,,,,0,
8,233,1132.0,1473.0,29.9,3.0,31.33,31.33,0.0,31.33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,,,,0,
9,263,1106.0,1343.0,31.2,3.0,31.33,31.33,0.0,31.33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,,,,0,
10,293,1048.0,1300.0,32.0,3.0,31.33,31.33,0.0,31.33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,,,,0,
11,298,393.2,735.61,44.08,0.0,10.0,15.0,40.0,25.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1373.0,0,,,1173.0,10.0,,0,
12,77,612.64,1073.97,59.9,0.0,10.0,15.0,40.0,25.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1373.0,0,,,1173.0,10.0,,0,
13,298,300.0,650.0,77.0,0.0,17.5,12.7,54.9,9.9,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1423.0,0,,,1273.0,1.0,,0,
14,77,625.0,1200.0,81.0,0.0,17.5,12.7,54.9,9.9,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1423.0,0,,,1273.0,1.0,,0,
15,77,1001.0,1466.0,46.0,0.0,19.8,19.8,19.8,19.8,0.0,0.0,0.0,19.8,0.0,0.0,1.0,0.0,0.0,0.0,,0,,,1073.0,30.0,,0,
16,293,800.0,1000.0,31.0,0.0,19.8,19.8,19.8,19.8,0.0,0.0,0.0,19.8,0.0,0.0,1.0,0.0,0.0,0.0,,0,,,1073.0,30.0,,0,
17,623,670.0,810.0,25.0,0.0,19.8,19.8,19.8,19.8,0.0,0.0,0.0,19.8,0.0,0.0,1.0,0.0,0.0,0.0,,0,,,1073.0,30.0,,0,
18,823,465.0,554.0,49.6,0.0,19.8,19.8,19.8,19.8,0.0,0.0,0.0,19.8,0.0,0.0,1.0,0.0,0.0,0.0,,0,,,1073.0,30.0,,0,
19,293,881.8,1341.3,49.05,0.0,33.3,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0,0.0,1473.0,0,,,1173.0,0.5,,0,
20,194,822.5,1316.4,54.1,0.0,33.3,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0,0.0,1473.0,0,,,1173.0,0.5,,0,
21,77,1218.3,1746.7,49.75,0.0,33.3,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0,0.0,1473.0,0,,,1173.0,0.5,,0,
22,293,660.9,1168.2,60.2,0.0,33.3,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0,0.0,1473.0,0,,,1223.0,0.5,,0,
23,194,693.2,1221.4,61.7,0.0,33.3,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0,0.0,1473.0,0,,,1223.0,0.5,,0,
24,77,903.8,1570.1,73.7,0.0,33.3,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0,0.0,1473.0,0,,,1223.0,0.5,,0,
25,293,573.2,1102.4,67.7,0.0,33.3,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0,0.0,1473.0,0,,,1273.0,0.5,,0,
26,194,611.8,1171.4,66.55,0.0,33.3,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0,0.0,1473.0,0,,,1273.0,0.5,,0,
