author,title,source,year,doi,mat_type,list,temperature,temperature_unit,yield_strength,yield_strength_unit,ultimate_strength,ultimate_strength_unit,elongation,elongation_unit,impact_energy,impact_energy_unit,mat_name,ratio_type,composition,composition_at,Al,Co,Cr,Fe,Ni,Ti,Ta,V,Mn,Cu,Mo,C,W,Nb,processing_ingot_desc,processing_ingot_size,processing_types,homogenization_temperature,annealing_temperature,annealing_time,processing_description,testing_test_type,testing_test_tem,testing_test_tem_unit,testing_test_env,testing_refrigerant,testing_test_mac,testing_test_standard,testing_load_ctrl,testing_spec_desc,testing_spec_shape,testing_spec_size,testing_spec_standard,testing_spec_dir,testing_spec_notch,score,testing_rate1_value,testing_rate1_unit,recrystallization_temperature,recrystallization_time,aging_temperature,aging_time
"Liu, HC; Kuo, CM; Shen, PK; Huang, CY; Yen, HW; Tsai, CW",Disordering of L1(2) Phase in High-Entropy Alloy Deformed at Cryogenic Temperature,ADVANCED ENGINEERING MATERIALS,2021,10.1002/adem.202100564,HEA,1,77,K,1063.0,MPa,1635.0,MPa,39.4,%,,J,Al3.6Co27.3Cr18.2Fe18.2Ni27.3Ti5.4,,Al3.6Co27.3Cr18.2Fe18.2Ni27.3Ti5.4,Al3.6Co27.3Cr18.2Fe18.2Ni27.3Ti5.4,3.6,27.3,18.2,18.2,27.3,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],arc melting; homogenization; water quenching; cold rolling; annealing,1423.0,1273.0,1.0,arc melting atmosphere: argon; homogenization at 1423 K for 6 h; water quenching; cold rolling reduction unit: % reduction value: [70.0]; annealing at 1273 K for 1 h,tensile,77,K,,,Instron 4468 Universal Testing System,,,bone shape,,19,,,,0.4444444444444444,,,,,,
"Huang, ZB; Ren, Y; Luo, DW; Zhou, Q; He, YX; Wang, HF",Improved Wear Resistance of a Heterogeneous CoCrNi Medium-Entropy Alloy at Cryogenic Temperature,TRIBOLOGY LETTERS,2022,10.1007/s11249-022-01643-x,MEA,1,273,K,1108.0,MPa,1140.0,MPa,24.5,%,,J,CoCrNi,at.%,Co33.4Cr33.48Ni33.12,Co33.4Cr33.48Ni33.12,0.0,33.4,33.48,0.0,33.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangular,"[75, 15, 5]",arc-melting; re-melting; casting; cold rolling; annealing; water quenching,,873.0,1.0,arc-melting environment: argon atmosphere; re-melting method: electromagnetic stirring; casting; cold rolling reduction unit: % reduction value: [70.0]; annealing at 873 K for 1 h; water quenching,tensile,273,K,liquid nitrogen,liquid nitrogen,Instron 5982,,strain,Dog-bone-shaped,rectangular,"12.5, 3.2, 1.5",,longitudinal axis consistent with the rolling direction of sheet,,0.8518518518518519,0.001,s-1,,,,
"Huang, ZB; Ren, Y; Luo, DW; Zhou, Q; He, YX; Wang, HF",Improved Wear Resistance of a Heterogeneous CoCrNi Medium-Entropy Alloy at Cryogenic Temperature,TRIBOLOGY LETTERS,2022,10.1007/s11249-022-01643-x,MEA,2,153,K,1258.0,MPa,1324.0,MPa,28.2,%,,J,CoCrNi,at.%,Co33.4Cr33.48Ni33.12,Co33.4Cr33.48Ni33.12,0.0,33.4,33.48,0.0,33.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangular,"[75, 15, 5]",arc-melting; re-melting; casting; cold rolling; annealing; water quenching,,873.0,1.0,arc-melting environment: argon atmosphere; re-melting method: electromagnetic stirring; casting; cold rolling reduction unit: % reduction value: [70.0]; annealing at 873 K for 1 h; water quenching,tensile,153,K,liquid nitrogen,liquid nitrogen,Instron 5982,,strain,Dog-bone-shaped,rectangular,"12.5, 3.2, 1.5",,longitudinal axis consistent with the rolling direction of sheet,,0.8518518518518519,0.001,s-1,,,,
"Xie, Y; Zhao, PC; Tong, YG; Tan, JP; Sun, BH; Cui, Y; Wang, RZ; Zhang, XC; Tu, ST",Precipitation and heterogeneous strengthened CoCrNi-based medium entropy alloy with excellent strength-ductility combination from room to cryogenic temperatures,SCIENCE CHINA-TECHNOLOGICAL SCIENCES,2022,10.1007/s11431-022-2076-1,MEA,1,113,K,1280.0,MPa,1698.0,MPa,32.4,%,,J,(CoCrNi)94Al3Ti3,at.%,Co31.33Cr31.33Ni31.33Al3.0Ti3.0,Co31.33Cr31.33Ni31.33Al3.0Ti3.0,3.0,31.33,31.33,0.0,31.33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],arc melting; remelting; homogenization; cold rolling; heating,1473.0,,,arc melting environment: high-purity argon atmosphere; remelting; homogenization at 1473 K for 3 h; cold rolling reduction unit: % reduction value: [70.0]; heating at 1173 K for 3 h,tensile,113,K,,,CARE M5000 mechanical testing machine,,strain,flat dog-bone shaped,rectangular,"8.5, 1.0, 2.0",,parallel to the rolling direction,,0.5925925925925926,0.001,s-1,,,,
"Xie, Y; Zhao, PC; Tong, YG; Tan, JP; Sun, BH; Cui, Y; Wang, RZ; Zhang, XC; Tu, ST",Precipitation and heterogeneous strengthened CoCrNi-based medium entropy alloy with excellent strength-ductility combination from room to cryogenic temperatures,SCIENCE CHINA-TECHNOLOGICAL SCIENCES,2022,10.1007/s11431-022-2076-1,MEA,2,143,K,1231.0,MPa,1627.0,MPa,34.1,%,,J,(CoCrNi)94Al3Ti3,at.%,Co31.33Cr31.33Ni31.33Al3.0Ti3.0,Co31.33Cr31.33Ni31.33Al3.0Ti3.0,3.0,31.33,31.33,0.0,31.33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],arc melting; remelting; homogenization; cold rolling; heating,1473.0,,,arc melting environment: high-purity argon atmosphere; remelting; homogenization at 1473 K for 3 h; cold rolling reduction unit: % reduction value: [70.0]; heating at 1173 K for 3 h,tensile,143,K,,,CARE M5000 mechanical testing machine,,strain,flat dog-bone shaped,rectangular,"8.5, 1.0, 2.0",,parallel to the rolling direction,,0.5925925925925926,0.001,s-1,,,,
"Xie, Y; Zhao, PC; Tong, YG; Tan, JP; Sun, BH; Cui, Y; Wang, RZ; Zhang, XC; Tu, ST",Precipitation and heterogeneous strengthened CoCrNi-based medium entropy alloy with excellent strength-ductility combination from room to cryogenic temperatures,SCIENCE CHINA-TECHNOLOGICAL SCIENCES,2022,10.1007/s11431-022-2076-1,MEA,3,173,K,1176.0,MPa,1544.0,MPa,32.9,%,,J,(CoCrNi)94Al3Ti3,at.%,Co31.33Cr31.33Ni31.33Al3.0Ti3.0,Co31.33Cr31.33Ni31.33Al3.0Ti3.0,3.0,31.33,31.33,0.0,31.33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],arc melting; remelting; homogenization; cold rolling; heating,1473.0,,,arc melting environment: high-purity argon atmosphere; remelting; homogenization at 1473 K for 3 h; cold rolling reduction unit: % reduction value: [70.0]; heating at 1173 K for 3 h,tensile,173,K,,,CARE M5000 mechanical testing machine,,strain,flat dog-bone shaped,rectangular,"8.5, 1.0, 2.0",,parallel to the rolling direction,,0.5925925925925926,0.001,s-1,,,,
"Xie, Y; Zhao, PC; Tong, YG; Tan, JP; Sun, BH; Cui, Y; Wang, RZ; Zhang, XC; Tu, ST",Precipitation and heterogeneous strengthened CoCrNi-based medium entropy alloy with excellent strength-ductility combination from room to cryogenic temperatures,SCIENCE CHINA-TECHNOLOGICAL SCIENCES,2022,10.1007/s11431-022-2076-1,MEA,4,203,K,1170.0,MPa,1507.0,MPa,31.6,%,,J,(CoCrNi)94Al3Ti3,at.%,Co31.33Cr31.33Ni31.33Al3.0Ti3.0,Co31.33Cr31.33Ni31.33Al3.0Ti3.0,3.0,31.33,31.33,0.0,31.33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],arc melting; remelting; homogenization; cold rolling; heating,1473.0,,,arc melting environment: high-purity argon atmosphere; remelting; homogenization at 1473 K for 3 h; cold rolling reduction unit: % reduction value: [70.0]; heating at 1173 K for 3 h,tensile,203,K,,,CARE M5000 mechanical testing machine,,strain,flat dog-bone shaped,rectangular,"8.5, 1.0, 2.0",,parallel to the rolling direction,,0.5925925925925926,0.001,s-1,,,,
"Xie, Y; Zhao, PC; Tong, YG; Tan, JP; Sun, BH; Cui, Y; Wang, RZ; Zhang, XC; Tu, ST",Precipitation and heterogeneous strengthened CoCrNi-based medium entropy alloy with excellent strength-ductility combination from room to cryogenic temperatures,SCIENCE CHINA-TECHNOLOGICAL SCIENCES,2022,10.1007/s11431-022-2076-1,MEA,5,233,K,1132.0,MPa,1473.0,MPa,29.9,%,,J,(CoCrNi)94Al3Ti3,at.%,Co31.33Cr31.33Ni31.33Al3.0Ti3.0,Co31.33Cr31.33Ni31.33Al3.0Ti3.0,3.0,31.33,31.33,0.0,31.33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],arc melting; remelting; homogenization; cold rolling; heating,1473.0,,,arc melting environment: high-purity argon atmosphere; remelting; homogenization at 1473 K for 3 h; cold rolling reduction unit: % reduction value: [70.0]; heating at 1173 K for 3 h,tensile,233,K,,,CARE M5000 mechanical testing machine,,strain,flat dog-bone shaped,rectangular,"8.5, 1.0, 2.0",,parallel to the rolling direction,,0.5925925925925926,0.001,s-1,,,,
"Xie, Y; Zhao, PC; Tong, YG; Tan, JP; Sun, BH; Cui, Y; Wang, RZ; Zhang, XC; Tu, ST",Precipitation and heterogeneous strengthened CoCrNi-based medium entropy alloy with excellent strength-ductility combination from room to cryogenic temperatures,SCIENCE CHINA-TECHNOLOGICAL SCIENCES,2022,10.1007/s11431-022-2076-1,MEA,6,263,K,1106.0,MPa,1343.0,MPa,31.2,%,,J,(CoCrNi)94Al3Ti3,at.%,Co31.33Cr31.33Ni31.33Al3.0Ti3.0,Co31.33Cr31.33Ni31.33Al3.0Ti3.0,3.0,31.33,31.33,0.0,31.33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],arc melting; remelting; homogenization; cold rolling; heating,1473.0,,,arc melting environment: high-purity argon atmosphere; remelting; homogenization at 1473 K for 3 h; cold rolling reduction unit: % reduction value: [70.0]; heating at 1173 K for 3 h,tensile,263,K,,,CARE M5000 mechanical testing machine,,strain,flat dog-bone shaped,rectangular,"8.5, 1.0, 2.0",,parallel to the rolling direction,,0.5925925925925926,0.001,s-1,,,,
"Xie, Y; Zhao, PC; Tong, YG; Tan, JP; Sun, BH; Cui, Y; Wang, RZ; Zhang, XC; Tu, ST",Precipitation and heterogeneous strengthened CoCrNi-based medium entropy alloy with excellent strength-ductility combination from room to cryogenic temperatures,SCIENCE CHINA-TECHNOLOGICAL SCIENCES,2022,10.1007/s11431-022-2076-1,MEA,7,293,K,1048.0,MPa,1300.0,MPa,32.0,%,,J,(CoCrNi)94Al3Ti3,at.%,Co31.33Cr31.33Ni31.33Al3.0Ti3.0,Co31.33Cr31.33Ni31.33Al3.0Ti3.0,3.0,31.33,31.33,0.0,31.33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],arc melting; remelting; homogenization; cold rolling; heating,1473.0,,,arc melting environment: high-purity argon atmosphere; remelting; homogenization at 1473 K for 3 h; cold rolling reduction unit: % reduction value: [70.0]; heating at 1173 K for 3 h,tensile,293,K,,,CARE M5000 mechanical testing machine,,strain,flat dog-bone shaped,rectangular,"8.5, 1.0, 2.0",,parallel to the rolling direction,,0.5925925925925926,0.001,s-1,,,,
