ID,Number,YS(MPa),UTS(MPa),El(%),Al(at%),Co(at%),Cr(at%),Fe(at%),Ni(at%),Ta(at%),Nb(at%),Mo(at%),Ti(at%),V(at%),Mn(at%),C(at%),Cu(at%),W(at%),Hom_Temp(K),CR(%),recrystalize temperature/K,recrystalize time/mins,Anneal_Temp(K),Anneal_Time(h),aging temperature/K,aging time/hours,?,T_K,E,?r,?.1,??,VEC,?H,?S,?.2,?.3,?.4,D.?,e/a,Ec_eV/atom,G,?.5,D.r,A,F,w,?G,D.G,total_at%,Processing_Description
1,670,417.0,837.0,47.3,0.68,5.16,25.75,3.27,59.11,0.0,0.0,1.27,0.13,0.0,0.0,0.0,0.0,4.63,1484,0.0,0,0.0,298,0.0,0,0.0,1.862950005,1949.944708,231.5742004,0.030757725,3.561347819,0.158414765,8.561600015,-5.780968861,9.687737668,-3267.713986,10240.32978,1.207336601,0.147306396,1.158200006,4.574755021,90.37600015,-0.02854746,0.032044813,-4.950305054,-70.56909608,14722.7747,0.264359433,22.15655866,100.0,Homogenization was performed at 1484K. First heat treatment was performed at 298K
2,16,257.0,645.0,60.2,0.0,30.0,10.0,45.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1223,1.0,0,0.0,1.812,1868.05,208.35,0.020808752,2.167751716,0.087384209,7.9,-4.9,11.06447021,-4218.159914,25552.80406,1.087820282,0.0854,1.85,4.406,79.4,-0.018762929,0.0227,-4.4819515,-135.9878113,10917.55637,0.195575354,14.43,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1223K for 1.0 hours
3,4,352.0,790.0,64.2,0.0,0.0,15.0,20.0,45.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1273,0.166666667,0,0.0,1.8005,1903.4,199.65,0.029671565,2.961963961,0.11976957,8.0,-10.57,10.7057019,-1927.836612,12160.01873,1.087702549,0.12655,1.4,4.531,77.25,-0.031094293,0.0382,-4.628693612,-78.74762383,12154.34806,0.259542083,20.425,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1273K for 0.166666667 hours
4,941,862.0,1040.0,37.4,9.83,18.96,15.86,0.1,50.82,0.0,0.0,2.94,1.48,0.0,0.0,0.0,0.0,0.0,1423,0.0,1333,960.0,1123,16.0,1023,600.0,1.836775007,1766.524512,203.8989008,0.048907942,4.986137831,0.132157844,8.278500021,-11.38735448,11.24289327,-1744.11419,4700.232129,1.206462269,0.12834954,1.431300008,4.34881703,78.07560032,-0.050538011,0.052386764,-5.73441505,-39.17355778,14221.6587,0.306196966,22.37198208,99.99,Homogenization was performed at 1423K. Recrystallization was carried out at 1333K for 960.0 minutes. First heat treatment was performed at 1123K for 16.0 hours. Secondary heat treatment was conducted at 1023K for 600.0 hours
5,570,1110.0,1340.0,10.0,16.4,16.4,16.4,16.4,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298,50.0,0,0.0,298,0.0,973,12.0,1.80176,1691.92,194.752,0.051988913,5.062472388,0.120379826,7.704,-11.944448,12.9121589,-1828.995353,4777.243611,1.168771169,0.12718528,1.656,4.1776,75.016,-0.061785436,0.05945984,-5.820013489,-36.93120486,11979.59084,0.343643302,25.57088,100.0,Homogenization was performed at 298K. followed by cold rolling to 50.0% reduction. First heat treatment was performed at 298K. Secondary heat treatment was conducted at 973K for 12.0 hours
6,269,270.0,630.0,60.5,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1273,80.0,0,0.0,1173,1.0,0,0.0,1.766,1801.2,219.4,0.036643873,4.019832882,0.138361844,8.0,-4.16,13.3808668,-5793.658002,9965.096442,1.114281099,0.1504,1.4,4.024,85.6,-0.014576561,0.0464,-5.214125557,-56.69187889,10506.91257,0.174312219,13.76,100.0,Homogenization was performed at 1273K. followed by cold rolling to 80.0% reduction. First heat treatment was performed at 1173K for 1.0 hours
7,643,1150.0,1380.0,15.0,3.6,27.3,18.2,18.2,27.3,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,1423,60.0,0,0.0,298,0.0,1023,50.0,1.81097,1819.172,209.585,0.046240052,4.845610675,0.116666872,8.059,-9.968824,13.35488981,-2437.082008,6246.024406,1.206521757,0.11936386,1.581,4.31969,80.389,-0.035141885,0.04550446,-5.650404188,-41.80818434,12608.08274,0.251782525,19.39347,100.0,Homogenization was performed at 1423K. followed by cold rolling to 60.0% reduction. First heat treatment was performed at 298K. Secondary heat treatment was conducted at 1023K for 50.0 hours
8,817,352.0,758.0,43.0,0.21,2.87,27.1,33.31,35.53,0.0,0.0,0.59,0.24,0.0,0.0,0.0,0.0,0.15,1323,30.0,1450,6.0,298,0.0,0,0.0,1.815373005,1887.970708,225.9323004,0.017824925,2.013613201,0.106446987,8.162400015,-4.573971225,10.45105324,-4313.818651,32893.08578,1.207470298,0.110608332,1.375800006,4.312640021,88.77960015,-0.018165274,0.020215924,-4.704962403,-175.1745143,12185.80346,0.193196592,16.79275691,100.0,Homogenization was performed at 1323K. followed by cold rolling to 30.0% reduction. Recrystallization was carried out at 1450K for 6.0 minutes. First heat treatment was performed at 298K
9,768,359.0,862.0,47.0,0.68,5.16,25.75,3.27,59.11,0.0,0.0,1.27,0.13,0.0,0.0,0.0,0.0,4.63,1473,10.0,1505,6.0,298,0.0,0,0.0,1.862950005,1949.944708,231.5742004,0.030757725,3.561347819,0.158414765,8.561600015,-5.780968861,9.687737668,-3267.713986,10240.32978,1.207336601,0.147306396,1.158200006,4.574755021,90.37600015,-0.02854746,0.032044813,-4.950305054,-70.56909608,14722.7747,0.264359433,22.15655866,100.0,Homogenization was performed at 1473K. followed by cold rolling to 10.0% reduction. Recrystallization was carried out at 1505K for 6.0 minutes. First heat treatment was performed at 298K
10,807,414.0,793.0,38.0,0.21,2.87,27.1,33.31,35.53,0.0,0.0,0.59,0.24,0.0,0.0,0.0,0.0,0.15,1323,30.0,1339,6.0,298,0.0,0,0.0,1.815373005,1887.970708,225.9323004,0.017824925,2.013613201,0.106446987,8.162400015,-4.573971225,10.45105324,-4313.818651,32893.08578,1.207470298,0.110608332,1.375800006,4.312640021,88.77960015,-0.018165274,0.020215924,-4.704962403,-175.1745143,12185.80346,0.193196592,16.79275691,100.0,Homogenization was performed at 1323K. followed by cold rolling to 30.0% reduction. Recrystallization was carried out at 1339K for 6.0 minutes. First heat treatment was performed at 298K
