"ID",Number,YS(MPa),UTS(MPa),El(%),Al(at%),Co(at%),Cr(at%),Fe(at%),Ni(at%),Ta(at%),Nb(at%),Mo(at%),Ti(at%),V(at%),Mn(at%),C(at%),Cu(at%),W(at%),Hom_Temp(K),CR(%),recrystalize temperature/K,recrystalize time/mins,Anneal_Temp(K),Anneal_Time(h),aging temperature/K,aging time/hours,?,T_K,E,?r,?.1,??,VEC,?H,?S,?.2,?.3,?.4,D.?,e/a,Ec_eV/atom,G,?.5,D.r,A,F,w,?G,D.G,total_at%,Processing_Description
1,1,397.0,721.0,58.0,0.0,10.0,15.0,40.0,25.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1173,0.166666667,0,0.0,1.8095,1878.5,209.95,0.022148499,2.325038701,0.09881675,8.0,-6.09,12.12326611,-3739.500065,24713.31658,1.087849774,0.10315,1.6,4.407,81.25,-0.022581595,0.0266,-4.515811592,-122.6379274,11413.45946,0.212886613,16.745,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 0.166666667 hours
2,2,442.0,745.0,53.0,0.0,10.0,15.0,35.0,25.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,1373,75.0,0,0.0,1173,0.166666667,0,0.0,1.7955,1863.9,209.3,0.028430794,2.975282556,0.113643082,7.95,-6.26,13.37625296,-3982.747268,16548.41892,1.114647226,0.12065,1.55,4.3385,81.15,-0.022619892,0.03485,-4.643188146,-82.16546007,11057.37381,0.213163198,16.755,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 0.166666667 hours
3,3,544.0,860.0,46.2,0.0,10.0,15.0,30.0,25.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,1373,75.0,0,0.0,1173,0.166666667,0,0.0,1.7815,1849.3,208.65,0.032915361,3.433894984,0.125190854,7.9,-6.43,13.99336787,-4024.56224,12915.91028,1.114434914,0.13535,1.5,4.27,81.05,-0.022655836,0.042,-4.859988059,-66.6010658,10710.59456,0.213433333,16.745,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 0.166666667 hours
4,4,352.0,790.0,64.2,0.0,0.0,15.0,20.0,45.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1273,0.166666667,0,0.0,1.8005,1903.4,199.65,0.029671565,2.961963961,0.11976957,8.0,-10.57,10.7057019,-1927.836612,12160.01873,1.087702549,0.12655,1.4,4.531,77.25,-0.031094293,0.0382,-4.628693612,-78.74762383,12154.34806,0.259542083,20.425,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1273K for 0.166666667 hours
5,5,555.0,976.0,45.6,0.0,0.0,15.0,20.0,45.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1223,0.166666667,0,0.0,1.8005,1903.4,199.65,0.029671565,2.961963961,0.11976957,8.0,-10.57,10.7057019,-1927.836612,12160.01873,1.087702549,0.12655,1.4,4.531,77.25,-0.031094293,0.0382,-4.628693612,-78.74762383,12154.34806,0.259542083,20.425,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1223K for 0.166666667 hours
6,6,587.0,1013.0,38.5,0.0,0.0,15.0,20.0,45.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1173,0.166666667,0,0.0,1.8005,1903.4,199.65,0.029671565,2.961963961,0.11976957,8.0,-10.57,10.7057019,-1927.836612,12160.01873,1.087702549,0.12655,1.4,4.531,77.25,-0.031094293,0.0382,-4.628693612,-78.74762383,12154.34806,0.259542083,20.425,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 0.166666667 hours
7,7,715.0,1149.0,19.6,0.0,0.0,15.0,20.0,45.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1073,0.166666667,0,0.0,1.8005,1903.4,199.65,0.029671565,2.961963961,0.11976957,8.0,-10.57,10.7057019,-1927.836612,12160.01873,1.087702549,0.12655,1.4,4.531,77.25,-0.031094293,0.0382,-4.628693612,-78.74762383,12154.34806,0.259542083,20.425,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1073K for 0.166666667 hours
8,8,339.0,684.0,47.0,0.0,10.0,10.0,45.0,25.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1173,0.166666667,0,0.0,1.818,1860.05,206.55,0.02201017,2.273100356,0.092714616,8.1,-5.82,11.61197741,-3711.144087,23969.52179,1.087879291,0.0938,1.65,4.416,79.6,-0.01863279,0.0255,-4.50436065,-125.0490578,11485.81079,0.194435676,14.27,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 0.166666667 hours
9,9,345.0,689.0,52.6,0.0,20.0,10.0,45.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1173,0.166666667,0,0.0,1.815,1864.05,207.45,0.021431528,2.222985283,0.090138782,8.0,-5.36,11.85826703,-4123.95572,25817.54471,1.087849774,0.0902,1.75,4.411,79.5,-0.018723997,0.0243,-4.490113966,-130.0097411,11198.68024,0.195009125,14.37,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 0.166666667 hours
10,10,348.0,714.0,62.0,0.0,30.0,10.0,45.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1173,0.166666667,0,0.0,1.812,1868.05,208.35,0.020808752,2.167751716,0.087384209,7.9,-4.9,11.06447021,-4218.159914,25552.80406,1.087820282,0.0854,1.85,4.406,79.4,-0.018762929,0.0227,-4.4819515,-135.9878113,10917.55637,0.195575354,14.43,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 0.166666667 hours
