ID,Al(wt%),Co(wt%),Cr(wt%),Fe(wt%),Ni(wt%),UTS(MPa),El(%)
1,0.0625,0.0,0.25,0.25,0.4375,553.0,63.0
2,0.164,0.0,0.16,0.24,0.436,1012.0,12.6
3,0.166,0.0,0.12,0.28,0.434,979.0,12.1
4,0.17,0.0,0.08,0.32,0.43,951.0,15.2
5,0.1925,0.1886,0.0,0.1836,0.4353,956.0,10.0
6,0.18,0.3,0.1,0.1,0.32,1129.4,16.7
7,0.17,0.143,0.143,0.143,0.401,1067.0,14.0
8,0.17,0.286,0.143,0.143,0.258,1001.0,14.8
9,0.17,0.143,0.143,0.286,0.258,1145.0,10.3
10,0.2045,0.1,0.1,0.0,0.5955,718.0,1.85
11,0.193,0.15,0.15,0.0,0.507,1127.1,10.3
12,0.159,0.1818,0.1818,0.0,0.4772,1272.5,14.4
13,0.163,0.25,0.25,0.0,0.337,1109.0,13.6
14,0.0526,0.2105,0.2105,0.2631,0.2631,433.4,45.3
15,0.1666,0.1666,0.1666,0.1666,0.3333,881.7,17.2
16,0.1428,0.1428,0.1428,0.1428,0.4285,675.1,24.8
17,0.125,0.125,0.125,0.125,0.5,769.9,43.2
18,0.14,0.24,0.22,0.21,0.19,977.0,9.6
19,0.16,0.23,0.17,0.19,0.25,842.0,10.6
20,0.18,0.13,0.1,0.14,0.45,1047.0,10.83
21,0.1375,0.0,0.2125,0.3,0.35,1112.0,20.5
22,0.1375,0.05,0.1825,0.28,0.35,871.0,37.8
23,0.22,0.24,0.2,0.0,0.34,895.0,2.2
24,0.2,0.24,0.2,0.0,0.36,1060.0,5.4
25,0.2545,0.2181,0.1818,0.0,0.3454,1005.0,8.1
26,0.16,0.24,0.2,0.0,0.4,1028.0,19.3
27,0.14,0.24,0.2,0.0,0.42,873.0,31.2
28,0.185,0.24,0.2,0.0,0.375,1084.0,8.0
29,0.175,0.24,0.2,0.0,0.385,1028.0,14.5
30,0.0833,0.2047,0.3038,0.2197,0.1885,872.0,15.6
31,0.075,0.205,0.24,0.24,0.24,610.0,51.2
32,0.16,0.21,0.21,0.21,0.21,1427.0,3.0
33,0.0909,0.303,0.0,0.303,0.303,486.0,41.0
34,0.0789,0.2631,0.1315,0.2631,0.2631,504.0,45.0
35,0.0625,0.2083,0.3125,0.2083,0.2083,640.0,44.0
36,0.06,0.2,0.34,0.2,0.2,742.0,28.0
37,0.0566,0.1886,0.3773,0.1886,0.1886,1078.0,11.0
38,0.1111,0.2222,0.2222,0.2222,0.2222,367.0,23.0
39,0.19,0.01,0.19,0.2,0.41,1290.0,17.9
40,0.1639,0.0,0.1639,0.2459,0.4262,1028.0,18.3
41,0.1836,0.204,0.0,0.204,0.4081,1005.0,6.2
42,0.2,0.2,0.2,0.0,0.4,1200.0,8.9
43,0.18,0.2,0.2,0.0,0.42,1033.0,6.9
44,0.16,0.2,0.2,0.0,0.44,969.0,17.3
