ID,Number,Al(at%),C(at%),Co(at%),Cr(at%),Cu(at%),Fe(at%),Mn(at%),Mo(at%),Nb(at%),Ni(at%),Ta(at%),Ti(at%),V(at%),W(at%),Hom_Temp(K),CR(%),recrystalize temperature/K,recrystalize time/mins,Anneal_Temp(K),Anneal_Time(h),aging temperature/K,aging time/hours,Processing_Description,YS(MPa),UTS(MPa),El(%)
1,670,0.68,0.0,5.16,25.75,0.0,3.27,0.0,1.27,0.0,59.11,0.0,0.13,0.0,4.63,1484,0.0,0,0.0,298,0.0,0,0.0,Homogenization was performed at 1484K. First heat treatment was performed at 298K,417.0,837.0,47.3
2,16,0.0,0.0,30.0,10.0,0.0,45.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,1373,75.0,0,0.0,1223,1.0,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1223K for 1.0 hours,257.0,645.0,60.2
3,4,0.0,0.0,0.0,15.0,0.0,20.0,0.0,0.0,0.0,45.0,0.0,0.0,20.0,0.0,1373,75.0,0,0.0,1273,0.166666667,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1273K for 0.166666667 hours,352.0,790.0,64.2
4,941,9.83,0.0,18.96,15.86,0.0,0.1,0.0,2.94,0.0,50.82,0.0,1.48,0.0,0.0,1423,0.0,1333,960.0,1123,16.0,1023,600.0,Homogenization was performed at 1423K. Recrystallization was carried out at 1333K for 960.0 minutes. First heat treatment was performed at 1123K for 16.0 hours. Secondary heat treatment was conducted at 1023K for 600.0 hours,862.0,1040.0,37.4
5,570,16.4,0.0,16.4,16.4,0.0,16.4,0.0,0.0,0.0,34.4,0.0,0.0,0.0,0.0,298,50.0,0,0.0,298,0.0,973,12.0,Homogenization was performed at 298K. followed by cold rolling to 50.0% reduction. First heat treatment was performed at 298K. Secondary heat treatment was conducted at 973K for 12.0 hours,1110.0,1340.0,10.0
6,269,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1273,80.0,0,0.0,1173,1.0,0,0.0,Homogenization was performed at 1273K. followed by cold rolling to 80.0% reduction. First heat treatment was performed at 1173K for 1.0 hours,270.0,630.0,60.5
7,643,3.6,0.0,27.3,18.2,0.0,18.2,0.0,0.0,0.0,27.3,0.0,5.4,0.0,0.0,1423,60.0,0,0.0,298,0.0,1023,50.0,Homogenization was performed at 1423K. followed by cold rolling to 60.0% reduction. First heat treatment was performed at 298K. Secondary heat treatment was conducted at 1023K for 50.0 hours,1150.0,1380.0,15.0
8,817,0.21,0.0,2.87,27.1,0.0,33.31,0.0,0.59,0.0,35.53,0.0,0.24,0.0,0.15,1323,30.0,1450,6.0,298,0.0,0,0.0,Homogenization was performed at 1323K. followed by cold rolling to 30.0% reduction. Recrystallization was carried out at 1450K for 6.0 minutes. First heat treatment was performed at 298K,352.0,758.0,43.0
9,768,0.68,0.0,5.16,25.75,0.0,3.27,0.0,1.27,0.0,59.11,0.0,0.13,0.0,4.63,1473,10.0,1505,6.0,298,0.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 10.0% reduction. Recrystallization was carried out at 1505K for 6.0 minutes. First heat treatment was performed at 298K,359.0,862.0,47.0
10,807,0.21,0.0,2.87,27.1,0.0,33.31,0.0,0.59,0.0,35.53,0.0,0.24,0.0,0.15,1323,30.0,1339,6.0,298,0.0,0,0.0,Homogenization was performed at 1323K. followed by cold rolling to 30.0% reduction. Recrystallization was carried out at 1339K for 6.0 minutes. First heat treatment was performed at 298K,414.0,793.0,38.0
11,425,0.0,0.0,33.33,0.0,0.0,33.34,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0,70.0,0,0.0,1173,1.0,0,0.0,followed by cold rolling to 70.0% reduction. First heat treatment was performed at 1173K for 1.0 hours,199.0,495.0,55.0
12,234,13.04,0.0,21.74,21.74,0.0,21.74,0.0,0.0,0.0,21.74,0.0,0.0,0.0,0.0,1373,30.0,0,0.0,1173,0.03333,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 30.0% reduction. First heat treatment was performed at 1173K for 0.03333 hours,906.0,1085.0,10.3
13,187,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1273,80.0,0,0.0,1173,6.0,0,0.0,Homogenization was performed at 1273K. followed by cold rolling to 80.0% reduction. First heat treatment was performed at 1173K for 6.0 hours,249.0,621.0,47.0
14,304,9.09,0.0,18.182,18.182,18.182,18.182,0.0,0.0,0.0,18.182,0.0,0.0,0.0,0.0,1273,80.0,0,0.0,1173,5.0,0,0.0,Homogenization was performed at 1273K. followed by cold rolling to 80.0% reduction. First heat treatment was performed at 1173K for 5.0 hours,608.0,749.0,28.1
15,1086,0.0,0.0,10.0,10.0,0.0,45.0,0.0,0.0,0.0,25.0,0.0,0.0,10.0,0.0,1373,0.0,0,0.0,1173,10.0,0,0.0,Homogenization was performed at 1373K. First heat treatment was performed at 1173K for 10.0 hours,339.0,684.0,47.0
16,351,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1273,85.0,0,0.0,973,1.0,0,0.0,Homogenization was performed at 1273K. followed by cold rolling to 85.0% reduction. First heat treatment was performed at 973K for 1.0 hours,1029.0,1186.0,11.2
17,647,11.2,0.0,22.2,22.2,0.0,22.2,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,298,70.0,0,0.0,1473,1.0,923,4.0,Homogenization was performed at 298K. followed by cold rolling to 70.0% reduction. First heat treatment was performed at 1473K for 1.0 hours. Secondary heat treatment was conducted at 923K for 4.0 hours,770.0,1030.0,28.0
18,10,0.0,0.0,30.0,10.0,0.0,45.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,1373,75.0,0,0.0,1173,0.166666667,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 0.166666667 hours,348.0,714.0,62.0
19,262,0.0,0.0,5.0,2.0,0.0,40.0,27.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,1473,64.0,0,0.0,0,0.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 64.0% reduction,720.0,760.0,17.0
20,23,0.0,0.0,10.0,0.0,20.0,0.0,30.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,1173,75.0,0,0.0,1023,0.166666667,0,0.0,Homogenization was performed at 1173K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1023K for 0.166666667 hours,339.0,713.0,50.5
21,388,0.0,0.0,30.3,39.4,0.0,0.0,0.0,0.0,0.0,30.3,0.0,0.0,0.0,0.0,1473,70.0,0,0.0,1073,6.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 70.0% reduction. First heat treatment was performed at 1073K for 6.0 hours,793.0,1003.0,15.5
22,728,0.0,0.0,41.63,26.62,0.0,3.38,0.0,0.0,0.0,23.58,0.0,0.0,0.0,4.79,1473,20.0,0,0.0,298,0.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 20.0% reduction. First heat treatment was performed at 298K,917.0,1145.0,28.0
23,917,0.7,0.0,0.0,26.64,0.0,1.38,0.0,0.85,0.0,65.64,0.0,0.0,0.0,4.8,1423,0.0,0,0.0,298,0.0,1093,4900.0,Homogenization was performed at 1423K. First heat treatment was performed at 298K. Secondary heat treatment was conducted at 1093K for 4900.0 hours,401.5,807.5,14.5
24,372,0.0,0.0,33.33,33.34,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,1473,90.0,0,0.0,973,0.25,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 973K for 0.25 hours,1309.0,1489.0,9.8
25,482,7.42,1.1,0.0,5.93,0.0,39.96,34.42,0.0,0.0,11.17,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1423,24.0,0,0.0,First heat treatment was performed at 1423K for 24.0 hours,146.0,322.0,33.0
26,608,7.0,0.0,23.33,23.33,0.0,23.33,0.0,0.0,0.0,23.01,0.0,0.0,0.0,0.0,298,0.0,0,0.0,298,0.0,973,72.0,Homogenization was performed at 298K. First heat treatment was performed at 298K. Secondary heat treatment was conducted at 973K for 72.0 hours,305.0,525.0,44.0
27,890,0.88,0.0,1.01,28.65,0.0,2.67,0.0,5.59,1.17,58.93,0.6,0.5,0.0,0.0,1423,0.0,0,0.0,873,6.0,923,100.0,Homogenization was performed at 1423K. First heat treatment was performed at 873K for 6.0 hours. Secondary heat treatment was conducted at 923K for 100.0 hours,815.0,1263.0,21.0
28,211,0.0,1.0,17.5,12.5,0.0,55.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,1373,78.6,0,0.0,1173,1.0,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 78.6% reduction. First heat treatment was performed at 1173K for 1.0 hours,612.0,1034.0,49.1
29,689,0.54,0.0,1.99,18.02,0.0,3.15,0.0,9.15,0.0,66.84,0.0,0.0,0.0,0.32,1339,0.0,0,0.0,298,0.0,811,4000.0,Homogenization was performed at 1339K. First heat treatment was performed at 298K. Secondary heat treatment was conducted at 811K for 4000.0 hours,741.0,1253.0,41.0
30,94,0.0,0.0,34.0,20.0,0.0,6.0,0.0,6.0,0.0,34.0,0.0,0.0,0.0,0.0,1473,70.0,0,0.0,1273,1.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 70.0% reduction. First heat treatment was performed at 1273K for 1.0 hours,440.0,960.0,63.0
31,764,0.68,0.0,5.16,25.75,0.0,3.27,0.0,1.27,0.0,59.11,0.0,0.13,0.0,4.63,1473,20.0,1450,6.0,298,0.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 20.0% reduction. Recrystallization was carried out at 1450K for 6.0 minutes. First heat treatment was performed at 298K,441.0,924.0,40.0
