Ratio Type,id,eid,formula,DOI,,表示该研究报告了氧含量,表示微观结构分析采用了高分辨率技术,表示材料表现出非线性弹性行为,测量的氧含量（以重量百万分比 wppm 表示）,平均晶粒尺寸（μm）,YM,YM_err,YS,YS_err,UTS,UTS_err,DAR,DAR_err,HV,HV_err,moe,moe_class,ph1,ph2,ph3,condition,comments,composition,,test type,Test Temperature (K),Test Rate (s?1),Ingot Description,Ingot Size (mm)
at%,1,Ti-23Nb-10Zr-2.0Fe,Ti0.7791Fe0.0234Zr0.0617Nb0.1358,10.1007/s10853-021-06002-0,,1,0,0,1860,90,79,1,782,62,,,10,1,252,8,12.88,meta,Ti-beta,,,ST-WQ,"Young modulus obtained via tensile tests (Table 3). Grain size not reported, estimated from Fig. 9. ",Ti0.7791 Fe0.0234 Zr0.0617 Nb0.1358,,tensile,,,,
at%,2,Ti-27Nb-10Zr-1.5Fe,Ti0.7575Fe0.0156Zr0.0637Nb0.1632,10.1007/s10853-021-06002-0,,1,1,0,1400,60,78,3,735,94,,,9,1,229,2,11.65,meta,Ti-beta,,,ST-WQ,"Young modulus obtained via tensile tests (Table 3). Grain size not reported, estimated from Fig. 9. ",Ti0.7575 Fe0.0156 Zr0.0637 Nb0.1632,,tensile,,,,
at%,3,Ti-31Nb-10Zr-1.0Fe,Ti0.7298Fe0.0138Zr0.0664Nb0.1899,10.1007/s10853-021-06002-0,,1,0,0,1310,60,77,2,672,99,,,15,6,218,5,12.08,meta,Ti-beta,,,ST-WQ,"Young modulus obtained via tensile tests (Table 3). Grain size not reported, estimated from Fig. 9. ",Ti0.7298 Fe0.0138 Zr0.0664 Nb0.1899,,tensile,,,,
at%,4,Ti-11Nb-7Zr-3.5Fe,Ti0.8622Fe0.0349Zr0.041Nb0.0618,10.1016/j.matdes.2018.10.040,,1,1,0,1640,100,90,2,1011,17,,,4,1,358,3,13.78,meta,Ti-beta,Ti-omega,,ST-WQ,Young modulus obtained via tensile tests (Table 3),Ti0.8622 Fe0.0349 Zr0.041 Nb0.0618,,tensile,,,,
at%,5,Ti-19Nb-6Sn-2.5Fe,Ti0.8376Fe0.0256Nb0.11Sn0.0268,10.1016/j.matdes.2018.10.040,,1,1,0,1280,70,71,2,765,10,,,31,5,260,9,12.76,meta,Ti-beta,Ti-omega,,ST-WQ,Young modulus obtained via tensile tests (Table 3),Ti0.8376 Fe0.0256 Nb0.11 Sn0.0268,,tensile,,,,
at%,6,Ti-19Nb-10Zr-2.5Fe,Ti0.7974Fe0.027Zr0.0619Nb0.1137,10.1016/j.matdes.2018.10.040,,1,1,0,1570,70,69,1,1027,33,,,8,2,267,3,13.12,meta,Ti-beta,Ti-omega,,ST-WQ,Young modulus obtained via tensile tests (Table 3),Ti0.7974 Fe0.027 Zr0.0619 Nb0.1137,,tensile,,,,
at%,7,Ti-31Nb-1.0Fe,Ti0.8085Fe0.011Nb0.1805,10.1016/j.jmbbm.2016.09.024,,1,1,0,1400,,81,3,477,79,,,-32,,230,11,11.55,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests.,Ti0.8085 Fe0.011 Nb0.1805,,compression,,,,
at%,8,Ti-27Nb-1.5Fe,Ti0.8254Fe0.0162Nb0.1584,10.1016/j.jmbbm.2016.09.024,,1,1,0,1300,,94,2,496,31,,,-33,,277,16,12.23,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests.,Ti0.8254 Fe0.0162 Nb0.1584,,compression,,,,
at%,9,Ti-23Nb-2.0Fe,Ti0.8458Fe0.0217Nb0.1325,10.1016/j.jmbbm.2016.09.024,,1,1,0,1300,,95,5,604,55,,,-34,,314,6,12.89,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests.,Ti0.8458 Fe0.0217 Nb0.1325,,compression,,,,
at%,10,Ti-19Nb-2.5Fe,Ti0.8707Fe0.0254Nb0.1039,10.1016/j.jmbbm.2016.09.024,,1,1,0,1600,,90,3,672,77,,,-32,,334,4,12.92,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests.,Ti0.8707 Fe0.0254 Nb0.1039,,compression,,,,
