structure,exfoliation_en,structure_description
"Full Formula (Hf2 Si2 Te2)
Reduced Formula: HfSiTe
abc   :   3.667305   3.667305  27.311209
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Hf    0.407174  0.907174  0.265919  [0.0, 0.0, 0.0]
  1  Hf    0.907174  0.407174  0.111626  [0.0, 0.0, 0.0]
  2  Si    0.907174  0.907174  0.188772  [0.0, 0.0, 0.0]
  3  Si    0.407174  0.407174  0.188772  [0.0, 0.0, 0.0]
  4  Te    0.907174  0.407174  0.317053  [0.0, 0.0, 0.0]
  5  Te    0.407174  0.907174  0.060492  [0.0, 0.0, 0.0]",63.593833333333016,"HfSiTe crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one HfSiTe sheet oriented in the (0, 0, 1) direction. Hf(1) is bonded in a 8-coordinate geometry to four equivalent Si(1) and four equivalent Te(1) atoms. All Hf(1)-Si(1) bond lengths are 2.79 Å. All Hf(1)-Te(1) bond lengths are 2.95 Å. Si(1) is bonded in a 8-coordinate geometry to four equivalent Hf(1) and four equivalent Si(1) atoms. All Si(1)-Si(1) bond lengths are 2.59 Å. Te(1) is bonded in a 4-coordinate geometry to four equivalent Hf(1) atoms."
"Full Formula (As4)
Reduced Formula: As
abc   :   3.701362   4.699617  25.441200
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (4)
  #  SP       a         b         c  velocities
---  ----  ----  --------  --------  ---------------
  0  As     0.5  0.931349  0.272399  [0.0, 0.0, 0.0]
  1  As     0    0.568651  0.272399  [0.0, 0.0, 0.0]
  2  As     0.5  0.068651  0.177312  [0.0, 0.0, 0.0]
  3  As    -0    0.431349  0.177312  [0.0, 0.0, 0.0]",134.86375000000007,As crystallizes in the orthorhombic Pmna space group. The structure is zero-dimensional and consists of two As clusters. As(1) is bonded in a single-bond geometry to one As(1) atom. The As(1)-As(1) bond length is 2.50 Å.
"Full Formula (Ti2 Br2 O2)
Reduced Formula: TiBrO
abc   :   3.377602   4.042665  25.238364
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP      a    b         c  velocities
---  ----  ---  ---  --------  ---------------
  0  Ti    0    0.5  0.474389  [0.0, 0.0, 0.0]
  1  Ti    0.5  0    0.525611  [0.0, 0.0, 0.0]
  2  Br    0.5  0.5  0.396751  [0.0, 0.0, 0.0]
  3  Br    0    0    0.603249  [0.0, 0.0, 0.0]
  4  O     0    0    0.478647  [0.0, 0.0, 0.0]
  5  O     0.5  0.5  0.521353  [0.0, 0.0, 0.0]",43.11466666666686,"TiOBr crystallizes in the orthorhombic Pmmn space group. The structure is two-dimensional and consists of one TiOBr sheet oriented in the (0, 0, 1) direction. Ti(1) is bonded to four equivalent O(1) and two equivalent Br(1) atoms to form a mixture of distorted corner and edge-sharing TiBr2O4 octahedra. The corner-sharing octahedral tilt angles are 6°. There are two shorter (2.02 Å) and two longer (2.06 Å) Ti(1)-O(1) bond lengths. Both Ti(1)-Br(1) bond lengths are 2.59 Å. O(1) is bonded in a see-saw-like geometry to four equivalent Ti(1) atoms. Br(1) is bonded in an L-shaped geometry to two equivalent Ti(1) atoms."
"Full Formula (In2 Bi2)
Reduced Formula: InBi
abc   :   4.689404   4.689404  25.074031
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  In    0.511542  0.511542  0.101181  [0.0, 0.0, 0.0]
  1  In    0.011542  0.011542  0.101181  [0.0, 0.0, 0.0]
  2  Bi    0.011542  0.511542  0.180072  [0.0, 0.0, 0.0]
  3  Bi    0.511542  0.011542  0.02229   [0.0, 0.0, 0.0]",240.7154875,"InBi crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one InBi sheet oriented in the (0, 0, 1) direction. In(1) is bonded to four equivalent Bi(1) atoms to form a mixture of distorted corner and edge-sharing InBi4 tetrahedra. All In(1)-Bi(1) bond lengths are 3.07 Å. Bi(1) is bonded in a 4-coordinate geometry to four equivalent In(1) atoms."
"Full Formula (Nb1 O2)
Reduced Formula: NbO2
abc   :   3.001645   3.001645  22.467047
angles:  90.000000  90.000000 120.000010
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Nb    0.333333  0.666667  0.116471  [0.0, 0.0, 0.0]
  1  O     0.666667  0.333333  0.063596  [0.0, 0.0, 0.0]
  2  O     0.666667  0.333333  0.169346  [0.0, 0.0, 0.0]",67.44283333333368,"NbO2 is Molybdenite-like structured and crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one NbO2 sheet oriented in the (0, 0, 1) direction. Nb(1) is bonded in a 6-coordinate geometry to six equivalent O(1) atoms. All Nb(1)-O(1) bond lengths are 2.10 Å. O(1) is bonded in a distorted T-shaped geometry to three equivalent Nb(1) atoms."
"Full Formula (Sb2 As2 O6)
Reduced Formula: SbAsO3
abc   :   4.485823   5.396512  19.504737
angles:  90.000000  90.717611  86.287086
pbc   :       True       True       True
Sites (10)
  #  SP            a         b         c  velocities
---  ----  ---------  --------  --------  ---------------
  0  Sb     0.483917  0.674845  0.017126  [0.0, 0.0, 0.0]
  1  Sb    -0.0084    0.174457  0.154035  [0.0, 0.0, 0.0]
  2  As     0.989235  0.241175  0.977104  [0.0, 0.0, 0.0]
  3  As     0.501234  0.740597  0.194098  [0.0, 0.0, 0.0]
  4  O      0.06084   0.550795  0.008407  [0.0, 0.0, 0.0]
  5  O      0.592714  0.325555  0.982148  [0.0, 0.0, 0.0]
  6  O      0.54141   0.562076  0.114925  [0.0, 0.0, 0.0]
  7  O      0.038202  0.061949  0.056236  [0.0, 0.0, 0.0]
  8  O      0.569442  0.050519  0.162883  [0.0, 0.0, 0.0]
  9  O      0.104173  0.825089  0.189097  [0.0, 0.0, 0.0]",66.30685000000014,"SbAsO3 crystallizes in the triclinic P1 space group. The structure is two-dimensional and consists of one SbAsO3 sheet oriented in the (0, 0, 1) direction. Sb(1,2) is bonded in a 4-coordinate geometry to one O(2), one O(3), and two equivalent O(1) atoms. The Sb(1,2)-O(2) bond length is 2.04 Å. The Sb(1,2)-O(3) bond length is 2.01 Å. There is one shorter (2.06 Å) and one longer (2.64 Å) Sb(1,2)-O(1) bond length. As(1,2) is bonded in a 1-coordinate geometry to one O(1) and one O(4) atom. The As(1,2)-O(1) bond length is 1.83 Å. The As(1,2)-O(4) bond length is 1.82 Å. There are six inequivalent O sites. In the first O site, O(1) is bonded in a 3-coordinate geometry to two equivalent Sb(1,2) and one As(1,2) atom. In the second O site, O(2) is bonded in a single-bond geometry to one Sb(1,2) atom. In the third O site, O(3) is bonded in a bent 120 degrees geometry to one Sb(1,2) and one As(1,2) atom. The O(3)-As(1,2) bond length is 1.82 Å. In the fourth O site, O(4) is bonded in a bent 120 degrees geometry to one Sb(1,2) and one As(1,2) atom. The O(4)-Sb(1,2) bond length is 2.01 Å. In the fifth O site, O(5) is bonded in a 3-coordinate geometry to two equivalent Sb(1,2) and one As(1,2) atom. There is one shorter (2.06 Å) and one longer (2.64 Å) O(5)-Sb(1,2) bond length. The O(5)-As(1,2) bond length is 1.83 Å. In the sixth O site, O(6) is bonded in a single-bond geometry to one Sb(1,2) atom. The O(6)-Sb(1,2) bond length is 2.04 Å."
"Full Formula (Mo2 O6)
Reduced Formula: MoO3
abc   :   3.696882   3.893860  28.497100
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a         b         c  velocities
---  ----  ----  --------  --------  ---------------
  0  Mo    0.25  0.431436  0.324004  [0.0, 0.0, 0.0]
  1  Mo    0.75  0.568564  0.21981   [0.0, 0.0, 0.0]
  2  O     0.25  0.466915  0.382591  [0.0, 0.0, 0.0]
  3  O     0.75  0.533085  0.161222  [0.0, 0.0, 0.0]
  4  O     0.25  0.497766  0.238833  [0.0, 0.0, 0.0]
  5  O     0.75  0.502234  0.30498   [0.0, 0.0, 0.0]
  6  O     0.25  0.981867  0.315661  [0.0, 0.0, 0.0]
  7  O     0.75  0.018133  0.228152  [0.0, 0.0, 0.0]",45.94237500000009,"MoO3 crystallizes in the monoclinic P2_1/m space group. The structure is two-dimensional and consists of one MoO3 sheet oriented in the (0, 0, 1) direction. Mo(1) is bonded in a 6-coordinate geometry to one O(1), two equivalent O(3), and three equivalent O(2) atoms. The Mo(1)-O(1) bond length is 1.68 Å. There is one shorter (1.77 Å) and one longer (2.16 Å) Mo(1)-O(3) bond length. There are two shorter (1.95 Å) and one longer (2.44 Å) Mo(1)-O(2) bond length. There are three inequivalent O sites. In the first O site, O(1) is bonded in a single-bond geometry to one Mo(1) atom. In the second O site, O(2) is bonded in a 3-coordinate geometry to three equivalent Mo(1) atoms. In the third O site, O(3) is bonded in a distorted linear geometry to two equivalent Mo(1) atoms."
"Full Formula (Cr2 Ge2 Te6)
Reduced Formula: CrGeTe3
abc   :   6.898647   6.898647  23.444603
angles:  90.000000  90.000000 120.000003
pbc   :       True       True       True
Sites (10)
  #  SP            a          b         c  velocities
---  ----  ---------  ---------  --------  ---------------
  0  Te     0.373713   0.373709  0.147284  [0.0, 0.0, 0.0]
  1  Te    -4e-06      0.626287  0.147284  [0.0, 0.0, 0.0]
  2  Te     0.626291   4e-06     0.147284  [0.0, 0.0, 0.0]
  3  Te     0.626287   0.626291  0.999641  [0.0, 0.0, 0.0]
  4  Te     4e-06      0.373713  0.999641  [0.0, 0.0, 0.0]
  5  Te     0.373709  -4e-06     0.999641  [0.0, 0.0, 0.0]
  6  Cr     0.666667   0.333333  0.073463  [0.0, 0.0, 0.0]
  7  Cr     0.333333   0.666667  0.073462  [0.0, 0.0, 0.0]
  8  Ge    -0         -0         0.125048  [0.0, 0.0, 0.0]
  9  Ge    -0         -0         0.021877  [0.0, 0.0, 0.0]",89.47600000000034,"CrGeTe3 crystallizes in the trigonal P-31m space group. The structure is two-dimensional and consists of one CrGeTe3 sheet oriented in the (0, 0, 1) direction. Cr(1) is bonded to six equivalent Te(1) atoms to form CrTe6 octahedra that share corners with six equivalent Ge(1)GeTe3 tetrahedra and edges with three equivalent Cr(1)Te6 octahedra. All Cr(1)-Te(1) bond lengths are 2.78 Å. Ge(1) is bonded to one Ge(1) and three equivalent Te(1) atoms to form GeGeTe3 tetrahedra that share corners with six equivalent Cr(1)Te6 octahedra. The corner-sharing octahedral tilt angles are 79°. The Ge(1)-Ge(1) bond length is 2.42 Å. All Ge(1)-Te(1) bond lengths are 2.63 Å. Te(1) is bonded in a 3-coordinate geometry to two equivalent Cr(1) and one Ge(1) atom."
"Full Formula (Zr2 Br2 N2)
Reduced Formula: ZrBrN
abc   :   3.658791   3.658791  30.340540
angles:  90.000000  90.000000 120.000003
pbc   :       True       True       True
Sites (6)
  #  SP            a          b         c  velocities
---  ----  ---------  ---------  --------  ---------------
  0  Zr    -0          0         0.123503  [0.0, 0.0, 0.0]
  1  Zr     0.666667   0.333333  0.209831  [0.0, 0.0, 0.0]
  2  Br     0.333333   0.666667  0.058157  [0.0, 0.0, 0.0]
  3  Br     0.333333   0.666667  0.275176  [0.0, 0.0, 0.0]
  4  N      0.666667   0.333333  0.137972  [0.0, 0.0, 0.0]
  5  N      0         -0         0.195361  [0.0, 0.0, 0.0]",36.73083333333338,"ZrNBr crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one ZrNBr sheet oriented in the (0, 0, 1) direction. Zr(1) is bonded in a 7-coordinate geometry to four equivalent N(1) and three equivalent Br(1) atoms. There are three shorter (2.16 Å) and one longer (2.18 Å) Zr(1)-N(1) bond length. All Zr(1)-Br(1) bond lengths are 2.90 Å. N(1) is bonded to four equivalent Zr(1) atoms to form a mixture of corner and edge-sharing NZr4 tetrahedra. Br(1) is bonded in a 3-coordinate geometry to three equivalent Zr(1) atoms."
"Full Formula (Pd2 Se2 O6)
Reduced Formula: PdSeO3
abc   :   3.943861   6.409045  26.262160
angles:  90.000000  96.040454  90.000000
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Pd    0.5       0         0.119224  [0.0, 0.0, 0.0]
  1  Pd    0.5       0.5       0.119224  [0.0, 0.0, 0.0]
  2  Se    0.951344  0.25      0.041504  [0.0, 0.0, 0.0]
  3  Se    0.048656  0.75      0.196944  [0.0, 0.0, 0.0]
  4  O     0.209484  0.036254  0.050914  [0.0, 0.0, 0.0]
  5  O     0.209484  0.463746  0.050914  [0.0, 0.0, 0.0]
  6  O     0.787854  0.25      0.104757  [0.0, 0.0, 0.0]
  7  O     0.212146  0.75      0.133691  [0.0, 0.0, 0.0]
  8  O     0.790516  0.963746  0.187534  [0.0, 0.0, 0.0]
  9  O     0.790516  0.536254  0.187534  [0.0, 0.0, 0.0]",76.13090000000078,"PdSeO3 crystallizes in the monoclinic P2_1/m space group. The structure is one-dimensional and consists of one PdSeO3 ribbon oriented in the (0, 1, 0) direction. Pd(1) is bonded in a square co-planar geometry to two equivalent O(1) and two equivalent O(2) atoms. Both Pd(1)-O(1) bond lengths are 2.04 Å. Both Pd(1)-O(2) bond lengths are 2.02 Å. Se(1) is bonded in a single-bond geometry to one O(2) atom. The Se(1)-O(2) bond length is 1.84 Å. There are two inequivalent O sites. In the first O site, O(1) is bonded in a single-bond geometry to one Pd(1) atom. In the second O site, O(2) is bonded in a trigonal non-coplanar geometry to two equivalent Pd(1) and one Se(1) atom."
