ID,composition,Al(at%),C(at%),Co(at%),Cr(at%),Fe(at%),Mn(at%),Mo(at%),N(at%),Nb(at%),Ni(at%),Si(at%),Ti(at%),V(at%),W(at%),yield strength
1,Fe0.620C0.000953Mn0.000521Si0.00102Cr0.000110Ni0.192Mo0.0176V0.000112Nb0.0000616Co0.146Al0.00318Ti0.0185,0.318,0.0953,14.6,0.011000000000000001,62.0,0.0521,1.76,0.0,0.0061600000000000005,19.2,0.10200000000000001,1.8499999999999999,0.0112,0.0,2411.5
2,Fe0.623C0.00854Mn0.000104Si0.000203Cr0.147Ni0.0000971Mo0.0179V0.00515N0.00163Nb0.0000614Co0.188W0.00729Al0.000845,0.0845,0.8540000000000001,18.8,14.7,62.3,0.0104,1.79,0.163,0.0061400000000000005,0.00971,0.0203,0.0,0.515,0.729,1123.1
3,Fe0.625Mn0.000102Si0.000200Cr0.0936Ni0.129Mo0.00480V0.000110Nb0.0000604Co0.132Al0.00812Ti0.00669,0.812,0.0,13.200000000000001,9.36,62.5,0.0102,0.48,0.0,0.006039999999999999,12.9,0.02,0.6689999999999999,0.011000000000000001,0.0,1736.3
4,Fe0.634C0.000478Mn0.000523Si0.00102Cr0.000111Ni0.173Mo0.0237V0.000113Nb0.0000619Co0.146Al0.00277Ti0.0176,0.27699999999999997,0.0478,14.6,0.0111,63.4,0.0523,2.37,0.0,0.00619,17.299999999999997,0.10200000000000001,1.76,0.0113,0.0,2487.3
5,Fe0.636C0.000474Mn0.000518Si0.00101Cr0.000109Ni0.188Mo0.00860V0.000112Nb0.0000612Co0.144Al0.00274Ti0.0184,0.27399999999999997,0.0474,14.399999999999999,0.0109,63.6,0.0518,0.86,0.0,0.00612,18.8,0.101,1.8399999999999999,0.0112,0.0,2249.6
6,Fe0.636C0.00881Mn0.000203Si0.00972Cr0.135Ni0.00892Mo0.0114V0.000109Nb0.0000600Co0.190Al0.000620,0.062,0.881,19.0,13.5,63.6,0.0203,1.1400000000000001,0.0,0.006,0.8920000000000001,0.972,0.0,0.0109,0.0,1328.3
7,Fe0.644Mn0.000521Si0.00102Cr0.000110Ni0.177Mo0.0215V0.000112Nb0.0000617Co0.126Al0.00234Ti0.0269,0.234,0.0,12.6,0.011000000000000001,64.4,0.0521,2.15,0.0,0.006169999999999999,17.7,0.10200000000000001,2.69,0.0112,0.0,2501.1
8,Fe0.646C0.00479Mn0.00597Si0.00492Cr0.135Ni0.0000980Mo0.0534V0.000113N0.000821Nb0.0000619Co0.148Al0.000640,0.064,0.479,14.799999999999999,13.5,64.60000000000001,0.597,5.34,0.0821,0.00619,0.0098,0.492,0.0,0.0113,0.0,1228.9
9,Fe0.648C0.000453Mn0.0000991Si0.0386Cr0.183Ni0.0195Mo0.000113V0.000107Nb0.0000586Co0.109Al0.000605Ti0.000569,0.0605,0.0453,10.9,18.3,64.8,0.00991,0.0113,0.0,0.00586,1.95,3.8600000000000003,0.05689999999999999,0.0107,0.0,1088.6
10,Fe0.648C0.00751Mn0.000103Si0.000201Cr0.158Ni0.0000961Mo0.0288V0.00531N0.00201Nb0.0000607Co0.149Al0.000836,0.08360000000000001,0.751,14.899999999999999,15.8,64.8,0.0103,2.88,0.201,0.00607,0.00961,0.0201,0.0,0.5309999999999999,0.0,1502.0
